subject	group	session	preprocess_mode	raw_events_256	raw_events_511	raw_events_total	clean_epochs	rejection_rate	primary_erd_C3	primary_erd_C4	n_bad_channels	n_ica_rejected
119	c4_smr	3	minimal	607	0	607	593	0.023	-1.3708	-1.4516		
119	c4_smr	5	minimal	595	0	595	594	0.002	-1.2549	-0.9130		
119	c4_smr	6	minimal	0	680	680	672	0.012	-1.4497	-1.7471		
120	c3_beta	1	minimal	390	0	390	381	0.023	-1.8444	-1.2693		
120	c3_beta	3	minimal	712	0	712	698	0.020	-0.7446	-0.6925		
120	c3_beta	5	minimal	389	0	389	379	0.026	-1.8975	-0.9842		
120	c3_beta	6	minimal	637	0	637	634	0.005	-1.4595	-1.0239		
121	sham	1	minimal	674	0	674	649	0.037	-0.2407	-0.2491		
121	sham	3	minimal	623	0	623	611	0.019	-1.1458	-0.9341		
121	sham	5	minimal	547	0	547	542	0.009	-1.0774	-0.4711		
121	sham	6	minimal	625	0	625	611	0.022	-0.7189	-0.7198		
122	c4_smr	1	minimal	638	0	638	628	0.016	-0.8278	-0.9034		
122	c4_smr	3	minimal	661	0	661	650	0.017	-0.4466	-0.6777		
122	c4_smr	5	minimal	689	0	689	686	0.004	-0.3618	-0.6066		
122	c4_smr	6	minimal	0	662	662	661	0.002	-0.6296	-0.6640		
123	c3_beta	1	minimal	577	0	577	536	0.071	-1.0158	-0.9556		
123	c3_beta	3	minimal	625	0	625	621	0.006	-1.1323	-0.9733		
123	c3_beta	5	minimal	620	0	620	613	0.011	-1.1890	-0.8540		
123	c3_beta	6	minimal	0	709	709	703	0.008	-0.9087	-0.7461		
124	c3_smr	1	minimal	642	0	642	630	0.019	-2.0374	-1.2771		
124	c3_smr	3	minimal	698	0	698	688	0.014	-1.6376	-1.1617		
124	c3_smr	5	minimal	656	0	656	647	0.014	-1.0407	-1.1788		
124	c3_smr	6	minimal	0	707	707	694	0.018	-1.9170	-1.3588		
125	sham	1	minimal	595	0	595	584	0.018	-0.7498	-0.8623		
125	sham	3	minimal	653	0	653	646	0.011	-0.7743	-1.2400		
125	sham	5	minimal	166	0	166	165	0.006	-0.7462	-1.2985		
125	sham	6	minimal	645	0	645	635	0.016	-1.1192	-0.9081		
126	c3_beta	1	minimal	649	0	649	269	0.586	-0.8337	-0.8272		
126	c3_beta	3	minimal	625	0	625	24	0.962	-1.9673	-1.5664		
126	c3_beta	5	minimal	632	0	632	495	0.217	-1.0699	-0.7693		
126	c3_beta	6	minimal	0	725	725	0	1.000	-0.7997	-0.8378		
127	sham	1	minimal	576	0	576	462	0.198	-0.2776	-0.5813		
127	sham	3	minimal	611	0	611	431	0.295	-0.8796	-0.9546		
127	sham	5	minimal	626	0	626	530	0.153	-0.8601	-0.5835		
127	sham	6	minimal	571	0	571	535	0.063	-0.8113	-0.5930		
128	c4_smr	1	minimal	581	0	581	498	0.143	-0.7695	-1.0155		
128	c4_smr	3	minimal	641	0	641	520	0.189	-0.5416	-0.3467		
128	c4_smr	5	minimal	636	0	636	331	0.480	-1.2607	-1.0849		
128	c4_smr	6	minimal	626	0	626	577	0.078	-0.4273	-0.3188		
129	sham	1	minimal	663	0	663	426	0.357	-0.5771	0.0111		
129	sham	3	minimal	619	0	619	234	0.622	-1.0120	-0.7103		
129	sham	5	minimal	673	0	673	84	0.875	-1.2891	-0.6715		
129	sham	6	minimal	599	0	599	115	0.808	-0.7437	-0.6129		
130	c3_smr	1	minimal	606	0	606	572	0.056	-0.5986	-0.5052		
130	c3_smr	3	minimal	628	0	628	394	0.373	-0.4877	-0.2990		
130	c3_smr	5	minimal	654	0	654	640	0.021	-0.7602	-0.4283		
130	c3_smr	6	minimal	0	665	665	644	0.032	-0.4356	-0.3997		
131	sham	1	minimal	558	0	558	412	0.262	-0.3912	-0.6776		
131	sham	3	minimal									
131	sham	5	minimal	552	0	552	28	0.949	-0.0775	-2.5131		
131	sham	6	minimal	0	647	647	490	0.243	-0.2337	-0.3699		
132	sham	1	minimal	583	0	583	517	0.113	-0.5491	-0.6255		
132	sham	3	minimal	618	0	618	573	0.073	0.1854	0.0789		
132	sham	5	minimal	556	0	556	552	0.007	-0.2858	-0.6865		
132	sham	6	minimal	651	0	651	647	0.006	-0.3506	-0.2997		
133	c3_smr	1	minimal	601	0	601	281	0.532	-0.1746	-0.0096		
133	c3_smr	3	minimal	537	0	537	370	0.311	-0.8439	0.2634		
133	c3_smr	5	minimal	553	0	553	181	0.673	-0.9901	-0.5638		
133	c3_smr	6	minimal	0	608	608	271	0.554	-0.7637	-0.2432		
134	c4_smr	1	minimal	631	0	631	43	0.932	-0.7629	-1.6214		
134	c4_smr	3	minimal	627	0	627	155	0.753	-1.3050	-0.6789		
134	c4_smr	5	minimal	626	0	626	157	0.749	-1.4248	-2.0400		
134	c4_smr	6	minimal	0	493	493	100	0.797	-2.0437	-1.7007		
135	c3_beta	1	minimal	633	0	633	227	0.641	-1.0143	-0.7871		
135	c3_beta	3	minimal	601	0	601	372	0.381	-1.1204	-1.2157		
135	c3_beta	5	minimal	614	0	614	394	0.358	-1.0212	-1.0647		
135	c3_beta	6	minimal	0	744	744	384	0.484	-1.4649	-0.6993		
136	sham	1	minimal	566	0	566	531	0.062	-0.7283	-0.4171		
136	sham	3	minimal	621	0	621	613	0.013	-0.4138	-0.2599		
136	sham	5	minimal	642	0	642	634	0.012	-0.0770	-0.3329		
136	sham	6	minimal	0	637	637	636	0.002	-0.4323	-0.5225		
137	c4_smr	1	minimal	618	0	618	551	0.108	-0.6579	-0.9573		
137	c4_smr	3	minimal	605	0	605	563	0.069	-1.2032	-1.1994		
137	c4_smr	5	minimal	648	0	648	622	0.040	-1.2054	-1.0832		
137	c4_smr	6	minimal	761	0	761	643	0.155	-1.3091	-0.9091		
138	sham	1	minimal	580	0	580	576	0.007	-0.4833	-0.6945		
138	sham	3	minimal	38	632	670	658	0.018	-0.3879	-0.4494		
138	sham	5	minimal	603	0	603	598	0.008	-0.6876	-0.6318		
138	sham	6	minimal	0	629	629	618	0.017	-0.4705	-0.4787		
139	c4_smr	1	minimal	670	0	670	141	0.790	-1.5912	-2.1966		
139	c4_smr	3	minimal	645	0	645	181	0.719	-1.6339	-2.2876		
139	c4_smr	5	minimal	675	0	676	158	0.766	-2.1140	-2.3334		
139	c4_smr	6	minimal	718	0	718	70	0.903	-1.5877	-1.4937		
140	sham	1	minimal	673	0	673	203	0.698	0.0742	-0.5782		
140	sham	3	minimal	661	0	661	283	0.572	-0.6725	-1.1442		
140	sham	5	minimal	623	0	623	173	0.722	-1.0982	-1.3217		
140	sham	6	minimal	587	0	587	158	0.731	-0.2354	-0.6639		
